CASE_ID,CASE_TYPE,CASE_OPEN_DATE,CASE_CLOSED_DATE,CASE_REOPEN_DATE,DISAB_FLG
SD48292351,Emp and Assistance,1996-05-27,2000-06-05,2000-05-03,Y
SD48606149,Emp and Assistance,1994-07-27,2006-03-07,2004-11-10,Y
SD48367235,Emp and Assistance,2002-06-10,2008-04-01,2008-02-25,N
SD48811046,Emp and Assistance,2006-03-02,2012-09-22,2012-06-14,N
SD47691658,Emp and Assistance,1995-12-29,2011-09-08,2010-06-14,N
SD1091569358,Emp and Assistance,2019-01-22,2023-05-26,2023-03-03,N
SD847246614,Emp and Assistance,2017-06-01,2019-07-20,2017-08-22,N
SD47330994,Emp and Assistance,2010-06-17,2014-07-03,2013-11-29,Y
SD47030298,Emp and Assistance,1996-10-02,2004-03-05,1996-12-03,N
SD645096136,Emp and Assistance,2016-02-11,2019-11-16,2019-04-30,N
SD48884253,Emp and Assistance,2005-08-30,2012-07-21,2012-04-19,N
SD320476547,Emp and Assistance,2014-02-21,2023-06-09,2017-06-26,Y
SD47791371,Emp and Assistance,1993-03-01,2007-07-03,2007-02-19,N
SD838774106,Emp and Assistance,2017-05-12,2018-01-20,2017-10-05,N
SD47293437,Emp and Assistance,1997-10-10,2007-10-15,2007-07-16,N
SD47252825,Emp and Assistance,1991-07-05,1997-09-05,1996-11-25,Y
SD48459318,Emp and Assistance,2012-01-10,2022-08-19,2014-11-13,N
SD47378608,Emp and Assistance,1997-04-09,2001-03-01,2001-01-15,N
SD47675294,Emp and Assistance,2000-11-02,2011-12-20,2011-04-21,N
SD47279301,Emp and Assistance,1993-07-06,2006-02-02,1999-03-04,Y
SD49062601,Emp and Assistance,2001-06-04,2005-01-11,2001-07-16,Y
SD49032573,Emp and Assistance,2003-11-26,2004-10-06,2004-08-20,N
SD47187167,Emp and Assistance,1995-10-13,2015-03-21,2014-01-10,N
SD915841243,Emp and Assistance,2017-11-20,2023-04-14,2019-11-01,N
SD48609096,Emp and Assistance,1994-09-21,2011-06-08,2011-01-28,N
SD47356170,Emp and Assistance,1994-01-13,2007-11-06,1995-05-08,Y
SD48737910,Emp and Assistance,2008-07-15,2011-02-10,2009-12-21,N
SD47754950,Emp and Assistance,2000-01-24,2022-03-02,2020-01-16,N
SD48743532,Emp and Assistance,2005-05-20,2011-08-19,2010-09-29,N
SD984216002,Emp and Assistance,2018-05-04,2023-05-12,2023-02-24,N
SD684588649,Emp and Assistance,2016-05-11,2023-05-12,2021-03-02,N
SD48614124,Emp and Assistance,2011-05-13,2022-09-16,2022-01-14,N
SD47810337,Emp and Assistance,1998-06-02,2002-08-14,2002-07-18,N
SD48401999,Emp and Assistance,2010-09-09,2012-05-19,2012-01-19,Y
SD48518456,Emp and Assistance,2008-01-09,2011-11-24,2011-10-12,Y
SD47828458,Emp and Assistance,1993-02-10,2022-10-03,2005-01-27,Y
SD48572516,Emp and Assistance,1997-08-26,2023-02-01,1997-10-10,N
SD48766743,Emp and Assistance,2011-06-20,2023-01-13,2022-03-15,N
SD47641027,Emp and Assistance,1993-11-02,1997-05-27,1995-07-25,N
SD47543011,Emp and Assistance,2004-08-30,2019-10-19,2019-07-05,N
SD48316320,Emp and Assistance,2003-01-23,2010-03-19,2009-12-03,N
SD597984978,Emp and Assistance,2015-10-22,2020-05-11,2020-03-13,N
SD47035042,Emp and Assistance,2002-08-26,2009-01-30,2008-12-18,N
SD47402243,Emp and Assistance,1997-01-31,2011-03-18,2009-08-14,N
SD47212637,Emp and Assistance,2009-10-16,2010-05-14,2010-02-04,N
SD48580178,Emp and Assistance,1993-05-12,2003-03-07,1995-06-12,Y
SD47243329,Emp and Assistance,1999-02-23,2002-07-17,2001-07-18,N
SD47310355,Emp and Assistance,1993-01-13,2001-07-19,2000-04-10,Y
SD48347150,Emp and Assistance,2008-01-22,2023-02-11,2022-11-17,N
SD48867678,Emp and Assistance,2009-12-10,2013-08-15,2010-09-21,N
SD48976438,Emp and Assistance,1992-08-12,2011-08-19,2007-06-07,Y
SD47588526,Emp and Assistance,1991-06-12,2020-06-05,2019-11-29,N
SD47534516,Emp and Assistance,1992-12-08,1999-06-18,1999-04-08,N
SD48983910,Emp and Assistance,2009-03-20,2019-09-23,2019-09-23,N
SD1302481919,Emp and Assistance,2021-02-23,2023-04-14,2022-08-31,N
SD47870079,Emp and Assistance,2006-01-03,2019-08-14,2019-03-12,N
SD48020043,Emp and Assistance,1995-09-29,2013-04-15,2012-12-11,N
SD47662678,Emp and Assistance,1991-11-06,1999-06-02,1997-03-24,N
SD46967797,Emp and Assistance,2009-10-08,2020-07-06,2020-04-06,N
SD47429747,Emp and Assistance,1992-04-13,1997-03-14,1997-03-14,N
SD48627609,Emp and Assistance,1996-10-29,2002-04-08,2001-10-16,N
SD49012373,Emp and Assistance,1991-12-12,1995-01-31,1994-09-26,N
SD47235114,Emp and Assistance,2001-10-16,2013-04-25,2013-04-16,N
SD47335219,Emp and Assistance,2009-12-08,2014-07-15,2013-05-29,N
SD47263739,Emp and Assistance,2006-07-11,2015-07-25,2015-04-07,Y
SD47983604,Emp and Assistance,1993-03-15,2010-03-19,2009-12-17,N
SD47947851,Emp and Assistance,1991-07-23,2021-01-16,2019-07-05,N
SD47570702,Emp and Assistance,1991-11-20,2016-02-03,2000-11-29,Y
SD48608953,Emp and Assistance,1994-09-19,2005-08-23,2005-05-20,N
SD47293076,Emp and Assistance,1997-10-02,2001-09-20,1998-03-18,N
SD47397308,Emp and Assistance,1991-05-31,2012-06-23,2009-09-14,N
SD47549203,Emp and Assistance,2000-07-07,2006-06-01,2005-10-24,N
SD48246318,Emp and Assistance,1992-03-26,2004-09-10,2000-08-03,N
SD48252312,Emp and Assistance,1992-01-29,2007-03-27,2006-12-06,N
SD48751388,Emp and Assistance,1992-12-31,1999-10-07,1999-09-29,N
SD48324995,Emp and Assistance,1992-06-05,2015-02-14,2010-08-16,Y
SD47658228,Emp and Assistance,1996-03-15,2003-12-12,2002-03-28,N
SD48237568,Emp and Assistance,2009-10-16,2010-04-16,2010-01-12,Y
SD47156215,Emp and Assistance,1993-01-27,2014-11-07,2010-02-01,N
SD49009899,Emp and Assistance,1995-02-09,2002-04-03,2002-02-19,N
SD757284479,Emp and Assistance,2016-11-01,2023-07-14,2022-10-19,N
SD49047878,Emp and Assistance,1992-12-17,1998-02-05,1996-05-02,N
SD1200931497,Emp and Assistance,2019-11-26,2022-11-18,2022-02-15,N
SD1151517652,Emp and Assistance,2019-06-25,2023-08-18,2022-02-09,N
SD48248665,Emp and Assistance,1993-06-29,2011-10-13,2011-03-10,N
SD48252384,Emp and Assistance,1992-01-28,2007-07-10,2007-05-30,N
SD627914970,Emp and Assistance,2016-01-04,2022-01-15,2020-08-31,N
SD1208753817,Emp and Assistance,2019-12-19,2023-05-12,2022-09-22,N
SD47392262,Emp and Assistance,1998-11-27,2013-09-20,2013-06-24,N
SD47979218,Emp and Assistance,1992-11-16,2009-09-18,2009-06-29,N
SD48499374,Emp and Assistance,1995-02-20,1999-09-14,1998-08-13,N
SD47150141,Emp and Assistance,1993-03-11,2002-07-10,2002-01-31,N
SD48121990,Emp and Assistance,2010-12-31,2023-01-20,2017-03-17,Y
SD48710199,Emp and Assistance,1994-03-18,2001-10-11,2001-10-10,N
SD47829858,Emp and Assistance,1999-02-26,2013-06-05,2013-03-13,N
SD47983574,Emp and Assistance,1993-03-12,1996-12-17,1996-03-28,N
SD48498040,Emp and Assistance,2009-07-10,2011-09-30,2010-12-16,N
SD47888672,Emp and Assistance,2004-03-02,2008-03-08,2006-01-31,N
SD48756499,Emp and Assistance,1995-01-31,2001-06-27,2001-02-16,N
SD47238969,Emp and Assistance,1999-02-10,2003-10-14,2003-05-14,N
SD765737128,Emp and Assistance,2016-11-22,2022-04-22,2022-01-28,N
SD48802711,Emp and Assistance,2011-01-31,2012-08-16,2012-06-13,N
SD48080658,Emp and Assistance,2006-06-01,2011-03-02,2010-11-05,N
SD48240157,Emp and Assistance,2004-01-28,2011-08-19,2011-05-24,N
SD895705344,Emp and Assistance,2017-10-02,2023-05-31,2020-01-13,Y
SD639712012,Emp and Assistance,2016-01-29,2019-09-21,2019-06-28,N
SD48282603,Emp and Assistance,1995-08-03,2002-05-31,2001-05-25,N
SD47840362,Emp and Assistance,1993-12-09,2004-03-04,2003-10-23,N
SD47379286,Emp and Assistance,1997-05-16,2004-02-10,2003-09-30,N
SD48696882,Emp and Assistance,1991-12-12,2004-12-14,2004-11-29,N
SD48502812,Emp and Assistance,2011-07-05,2016-04-05,2016-01-20,N
SD48006584,Emp and Assistance,1992-10-16,2003-08-27,1997-10-02,Y
SD48223094,Emp and Assistance,2011-07-19,2018-04-09,2015-07-17,N
SD47139031,Emp and Assistance,1991-05-13,2002-03-20,1997-03-03,N
SD1044467586,Emp and Assistance,2018-09-27,2019-12-03,2019-06-27,N
SD47235226,Emp and Assistance,2001-11-02,2016-08-05,2016-05-17,N
SD47401871,Emp and Assistance,1997-01-17,2012-05-14,2012-02-21,Y
SD601340468,Emp and Assistance,2015-10-29,2017-07-04,2016-05-12,N
SD1327238927,Emp and Assistance,2021-12-31,2022-06-21,2022-05-17,N
SD47845160,Emp and Assistance,2000-08-14,2004-07-27,2004-02-17,N
SD48217651,Emp and Assistance,1994-10-21,2004-12-17,1999-05-05,N
SD48767347,Emp and Assistance,2002-01-15,2005-12-20,2004-05-13,N
SD47379176,Emp and Assistance,1997-05-08,2008-07-15,2007-07-10,N
SD47957396,Emp and Assistance,1991-04-05,1996-10-31,1996-08-20,Y
SD48157933,Emp and Assistance,1992-05-01,2002-07-02,1997-11-13,N
SD48452915,Emp and Assistance,1997-08-29,2007-08-27,2007-08-15,N
SD48774114,Emp and Assistance,1991-10-08,2022-02-04,2018-02-23,Y
SD48499312,Emp and Assistance,1995-02-09,2003-03-21,1995-04-06,N
SD48352969,Emp and Assistance,2010-03-10,2011-05-13,2011-02-08,Y
SD48282291,Emp and Assistance,1991-08-12,2018-10-18,2010-02-04,Y
SD47440859,Emp and Assistance,1999-06-28,2010-10-22,2008-04-22,Y
SD47968926,Emp and Assistance,1993-07-09,2020-10-21,2018-10-19,N
SD48100559,Emp and Assistance,1995-01-12,2022-11-18,2021-12-03,N
SD47499183,Emp and Assistance,2008-06-23,2010-11-15,2010-10-01,N
SD112190521,Emp and Assistance,2012-11-20,2013-06-22,2013-02-26,Y
SD47930241,Emp and Assistance,2002-05-10,2006-11-06,2005-01-28,N
SD618029388,Emp and Assistance,2015-12-07,2022-06-17,2018-09-19,N
SD48776714,Emp and Assistance,1992-02-10,1996-04-25,1994-04-12,N
SD48018505,Emp and Assistance,1992-06-22,2006-01-05,2002-07-02,Y
SD1053267633,Emp and Assistance,2018-10-18,2023-03-27,2022-02-03,N
SD47845779,Emp and Assistance,2002-12-03,2016-11-19,2014-03-06,N
SD47660348,Emp and Assistance,1993-04-29,1999-05-10,1998-09-18,N
SD47728191,Emp and Assistance,2002-12-13,2011-09-12,2011-04-14,N
SD46972999,Emp and Assistance,1991-11-05,2022-08-19,2019-01-10,N
SD47937837,Emp and Assistance,1991-08-01,2001-10-02,2001-06-22,N
SD47498475,Emp and Assistance,2008-05-08,2017-08-15,2017-07-18,N
SD48631282,Emp and Assistance,1999-05-27,2014-02-17,2014-01-13,N
SD47293446,Emp and Assistance,1997-10-21,2001-06-28,2000-10-12,N
SD249708176,Emp and Assistance,2013-09-19,2016-09-17,2015-03-24,N
SD47055419,Emp and Assistance,1994-08-09,2002-06-03,2002-01-23,N
SD48015762,Emp and Assistance,1994-02-28,2004-03-19,1998-05-21,N
SD48746256,Emp and Assistance,1992-10-16,2005-08-31,2005-08-18,N
SD47842214,Emp and Assistance,1991-04-26,2004-04-23,2004-01-06,N
SD48767988,Emp and Assistance,1994-11-29,2011-08-16,2010-01-19,N
SD47040200,Emp and Assistance,1996-04-26,2022-07-04,2011-06-30,Y
SD48825234,Emp and Assistance,1993-02-19,2010-03-19,2009-07-10,N
SD48378317,Emp and Assistance,2003-07-22,2021-02-13,2019-05-30,N
SD47696465,Emp and Assistance,1991-09-09,2011-11-30,2011-06-08,N
SD49012398,Emp and Assistance,2000-09-01,2012-12-14,2005-12-08,Y
SD47922864,Emp and Assistance,2011-11-30,2016-04-19,2015-11-17,Y
SD48875382,Emp and Assistance,2009-04-16,2014-06-16,2013-09-16,Y
SD48465689,Emp and Assistance,2006-02-28,2019-06-06,2019-06-06,N
SD898666617,Emp and Assistance,2017-10-10,2022-07-18,2020-01-21,N
SD685207247,Emp and Assistance,2016-05-12,2021-04-17,2017-12-12,N
SD48658943,Emp and Assistance,1992-09-04,1997-02-13,1997-01-13,N
SD1016200868,Emp and Assistance,2018-07-17,2021-12-10,2019-01-14,N
SD47874713,Emp and Assistance,1999-08-24,2023-04-03,2022-01-10,N
SD48534159,Emp and Assistance,1999-06-30,2003-12-31,2003-04-02,N
SD49048094,Emp and Assistance,1994-02-23,2002-07-04,2002-05-27,N
SD48656089,Emp and Assistance,1999-11-23,2001-08-31,1999-12-16,N
SD48792549,Emp and Assistance,1994-07-08,2021-11-17,1994-10-25,Y
SD49009590,Emp and Assistance,1994-07-29,2011-09-16,1999-02-09,Y
SD48542695,Emp and Assistance,1995-08-28,2004-08-10,2004-08-09,N
SD47757600,Emp and Assistance,2004-01-12,2011-07-20,2007-05-09,N
SD599599182,Emp and Assistance,2015-10-26,2020-01-18,2016-09-15,N
SD1064975630,Emp and Assistance,2018-11-15,2019-02-12,2019-02-12,N
SD798017984,Emp and Assistance,2017-02-07,2023-02-11,2019-01-31,N
SD1075537149,Emp and Assistance,2018-12-10,2023-01-20,2019-12-04,N
SD555467957,Emp and Assistance,2015-07-14,2023-09-15,2021-10-12,N
SD48726956,Emp and Assistance,1993-01-25,2001-04-06,2000-08-11,N
SD48325651,Emp and Assistance,1992-07-02,2004-10-04,2003-04-24,Y
SD48997976,Emp and Assistance,2011-12-01,2019-07-11,2019-01-04,N
SD47827983,Emp and Assistance,1996-11-18,2007-03-28,2007-01-18,N
SD47139820,Emp and Assistance,1992-10-08,2000-06-05,1999-12-16,Y
SD47261989,Emp and Assistance,1996-09-06,2002-02-12,2002-02-04,N
SD47810402,Emp and Assistance,1998-06-09,2022-10-21,2021-12-16,N
SD47689616,Emp and Assistance,1994-06-17,2013-01-24,2012-12-06,N
SD48100568,Emp and Assistance,1995-01-20,1998-04-28,1998-04-28,N
SD47028620,Emp and Assistance,2000-02-15,2022-11-30,2007-06-21,Y
SD47835795,Emp and Assistance,1991-11-25,2002-04-19,2001-12-14,N
SD48168469,Emp and Assistance,2005-03-29,2019-11-07,2019-03-26,N
SD49028845,Emp and Assistance,1994-01-06,2009-02-09,2009-01-29,N
SD1116837021,Emp and Assistance,2019-03-13,2022-09-16,2020-10-27,N
SD48839388,Emp and Assistance,2004-07-15,2014-10-20,2014-04-24,N
SD864031392,Emp and Assistance,2017-07-12,2023-09-15,2021-09-27,N
SD48428869,Emp and Assistance,1998-04-22,2007-12-04,2007-09-17,N
SD47696463,Emp and Assistance,1992-02-13,2017-10-21,2016-11-15,N
SD554098920,Emp and Assistance,2015-07-10,2022-11-04,2021-12-06,N
SD48450794,Emp and Assistance,1992-02-25,2004-02-23,2003-12-15,N
SD619294048,Emp and Assistance,2015-12-09,2021-05-15,2021-02-16,N
SD1089963429,Emp and Assistance,2019-01-17,2022-05-24,2019-10-16,Y
SD47618000,Emp and Assistance,2004-04-20,2014-10-17,2005-09-29,Y
SD47640123,Emp and Assistance,1993-10-05,2005-02-09,2004-11-23,Y
SD48995143,Emp and Assistance,2011-05-13,2014-11-14,2014-07-14,N
SD49059858,Emp and Assistance,2006-07-18,2007-01-08,2006-10-24,N
SD47109243,Emp and Assistance,2001-06-28,2002-03-07,2001-11-06,N
SD48465722,Emp and Assistance,2006-05-19,2022-07-28,2020-02-05,N
SD47929776,Emp and Assistance,2002-04-25,2004-01-12,2002-07-31,N
SD48312829,Emp and Assistance,1992-03-30,2001-08-23,2001-05-24,N
SD48520759,Emp and Assistance,1994-11-09,2001-05-22,2001-02-01,N
SD48349753,Emp and Assistance,2009-08-31,2016-01-12,2012-12-18,N
SD47845371,Emp and Assistance,2000-08-15,2007-04-03,2006-11-30,N
SD47549309,Emp and Assistance,2000-06-27,2020-09-19,2019-07-16,N
SD47079090,Emp and Assistance,1997-11-10,2008-07-09,2007-08-17,N
SD47302579,Emp and Assistance,1998-07-31,2013-05-31,2013-01-24,N
SD49012395,Emp and Assistance,1991-04-16,2005-06-08,2004-09-13,N
SD959877102,Emp and Assistance,2018-03-07,2019-10-19,2018-10-25,N
SD47570925,Emp and Assistance,1991-12-05,1999-12-30,1997-03-06,N
SD48579318,Emp and Assistance,1998-12-16,2023-04-06,2004-08-20,N
SD49014200,Emp and Assistance,1999-09-03,2010-11-03,2010-08-04,N
SD1137715762,Emp and Assistance,2019-05-10,2023-09-15,2021-05-28,N
SD982094294,Emp and Assistance,2018-04-30,2023-08-08,2023-08-08,N
SD48900117,Emp and Assistance,1995-12-14,2011-04-07,2011-02-01,N
SD47222982,Emp and Assistance,1997-07-11,1999-09-03,1999-01-14,N
SD47182785,Emp and Assistance,1996-03-18,2008-03-26,1996-09-30,N
SD287568297,Emp and Assistance,2013-12-11,2017-03-08,2016-01-07,N
SD48118180,Emp and Assistance,2002-05-31,2023-03-31,2005-05-02,Y
SD48006822,Emp and Assistance,1992-06-01,2000-04-26,2000-03-23,N
SD48499677,Emp and Assistance,1995-02-17,2012-03-16,2011-08-30,N
SD860464392,Emp and Assistance,2017-07-04,2021-05-20,2019-10-11,N
SD48455758,Emp and Assistance,2008-01-24,2019-08-13,2016-06-30,Y
SD48768012,Emp and Assistance,1994-11-30,2004-07-07,1998-11-03,Y
SD48639276,Emp and Assistance,1993-12-24,2005-09-30,2005-02-04,N
SD48373913,Emp and Assistance,1994-06-07,2003-05-28,1996-09-25,N
SD48388548,Emp and Assistance,2003-12-23,2005-01-14,2004-12-23,N
SD936450345,Emp and Assistance,2018-01-11,2023-05-12,2023-02-10,N
SD47252243,Emp and Assistance,2003-11-07,2007-05-09,2006-11-15,N
SD47529674,Emp and Assistance,2000-05-09,2013-11-04,2008-10-28,Y
SD47040289,Emp and Assistance,1996-05-02,2004-09-16,2003-12-30,N
SD48993760,Emp and Assistance,1993-10-22,2003-05-23,2002-10-03,N
SD49009383,Emp and Assistance,1995-07-06,2003-07-11,2003-04-01,Y
SD48609140,Emp and Assistance,1994-09-22,2000-08-21,1999-09-02,N
SD48822596,Emp and Assistance,2001-03-09,2008-01-24,2008-01-17,N
SD47244787,Emp and Assistance,2010-02-09,2020-12-12,2020-01-21,N
SD47479385,Emp and Assistance,2005-04-12,2013-01-18,2012-10-17,N
SD47212834,Emp and Assistance,2009-07-16,2010-09-03,2010-06-03,N
SD48679826,Emp and Assistance,2010-07-29,2011-08-25,2011-06-20,N
SD48594685,Emp and Assistance,1992-12-04,1998-07-13,1995-04-20,N
SD47460715,Emp and Assistance,2000-10-24,2004-10-04,2002-09-10,Y
SD48622639,Emp and Assistance,2011-05-17,2013-07-19,2012-10-23,N
SD48232672,Emp and Assistance,2007-07-20,2011-05-13,2011-02-09,N
SD1061890775,Emp and Assistance,2018-11-07,2023-09-15,2021-11-01,N
SD48215440,Emp and Assistance,2001-09-06,2021-11-18,2010-04-08,Y
SD48414988,Emp and Assistance,2009-08-19,2021-09-16,2018-09-06,Y
SD47403179,Emp and Assistance,1996-01-10,2011-10-19,2009-02-13,Y
SD47476656,Emp and Assistance,1994-02-22,1998-02-10,1997-11-20,N
SD48869438,Emp and Assistance,2004-02-20,2006-06-27,2006-06-19,Y
SD48736327,Emp and Assistance,1992-08-11,2012-08-25,2009-08-20,Y
SD47679878,Emp and Assistance,1991-12-31,2004-08-09,2004-02-09,N
SD47798469,Emp and Assistance,1991-04-11,2002-02-21,2001-12-13,N
SD47187476,Emp and Assistance,1995-10-20,1998-11-03,1997-07-22,N
SD750481618,Emp and Assistance,2016-10-17,2018-02-01,2017-11-21,N
SD47691655,Emp and Assistance,1993-09-28,2018-01-31,2007-02-22,Y
SD47352840,Emp and Assistance,2009-08-27,2022-05-17,2021-11-09,N
SD49000333,Emp and Assistance,2003-11-28,2014-07-18,2014-04-22,N
SD48458620,Emp and Assistance,2006-10-13,2010-01-20,2009-02-01,Y
SD48173827,Emp and Assistance,1994-03-09,2009-03-10,2007-10-26,N
SD47162900,Emp and Assistance,1996-07-05,2014-08-11,2013-07-26,N
SD48400764,Emp and Assistance,2001-04-18,2007-03-15,2003-09-30,N
SD48616880,Emp and Assistance,1995-05-11,2001-10-22,2000-08-02,N
SD48977973,Emp and Assistance,2011-05-09,2015-10-15,2015-07-21,Y
SD48901970,Emp and Assistance,1996-08-30,2022-12-17,2022-04-14,N
SD47570897,Emp and Assistance,1991-12-02,2014-08-19,2005-12-19,Y
SD47758987,Emp and Assistance,1991-05-03,2015-04-17,2008-10-21,Y
SD48408973,Emp and Assistance,1992-04-07,2000-08-16,1999-07-06,N
SD47208741,Emp and Assistance,1995-02-08,2003-01-17,2003-01-17,N
SD48580616,Emp and Assistance,1993-05-21,2017-08-19,2010-12-23,Y
SD47897124,Emp and Assistance,1992-11-27,2016-01-11,2010-03-17,Y
SD48643733,Emp and Assistance,2010-03-02,2013-05-09,2012-10-10,N
SD47871955,Emp and Assistance,1997-08-26,2005-07-22,2000-06-06,N
SD48291966,Emp and Assistance,1992-02-03,2009-04-09,2009-02-05,N
SD47644751,Emp and Assistance,1994-08-23,2021-07-05,2019-08-15,N
SD47956392,Emp and Assistance,1993-06-07,2012-01-20,2011-04-18,N
SD47332848,Emp and Assistance,1991-08-19,2015-07-24,1993-06-22,Y
SD47084827,Emp and Assistance,1992-07-16,2010-04-07,2010-01-12,N
SD48508180,Emp and Assistance,1992-04-07,2023-08-10,2019-06-10,Y
SD48936971,Emp and Assistance,2006-10-17,2013-07-16,2011-02-22,N
SD48050669,Emp and Assistance,2006-12-12,2016-08-05,2016-05-25,N
SD47643768,Emp and Assistance,1995-03-10,2005-12-12,2003-10-21,N
SD48582178,Emp and Assistance,1993-05-28,2019-12-31,2002-01-08,N
SD48045622,Emp and Assistance,1993-05-05,2017-11-01,2004-12-21,Y
SD48825905,Emp and Assistance,1991-10-21,2010-05-14,2010-01-26,N
SD47302853,Emp and Assistance,1998-08-06,1998-08-18,1998-08-13,N
SD924794992,Emp and Assistance,2017-12-11,2018-11-17,2018-08-17,N
SD47275146,Emp and Assistance,1996-02-16,2010-05-14,2008-12-23,Y
SD47668350,Emp and Assistance,1994-12-19,1999-11-04,1999-09-08,N
SD975115971,Emp and Assistance,2018-04-13,2018-09-25,2018-07-30,N
SD47685819,Emp and Assistance,2001-02-12,2010-05-11,2009-11-25,N
SD936450120,Emp and Assistance,2018-01-11,2022-04-22,2018-08-20,N
SD47873503,Emp and Assistance,2006-06-06,2020-07-18,2017-01-31,N
SD47132386,Emp and Assistance,1997-06-16,2003-08-25,2003-07-28,N
SD364211812,Emp and Assistance,2014-05-23,2022-10-21,2018-05-15,Y
SD47779240,Emp and Assistance,1994-05-12,2001-12-13,1996-09-30,N
SD47593616,Emp and Assistance,1993-03-31,2014-08-22,2013-09-06,Y
SD1283832440,Emp and Assistance,2020-07-21,2021-06-18,2020-10-06,N
SD47632210,Emp and Assistance,1992-11-20,2002-05-16,2001-05-04,N
SD219597360,Emp and Assistance,2013-07-10,2022-09-21,2018-10-31,Y
SD47869435,Emp and Assistance,1995-08-08,2005-03-09,1999-09-24,N
SD47365510,Emp and Assistance,1992-06-09,2011-04-15,2009-12-04,N
SD47293608,Emp and Assistance,1997-10-15,2005-05-06,2004-11-22,N
SD48143939,Emp and Assistance,2011-06-30,2022-03-18,2021-04-08,N
SD47937865,Emp and Assistance,1991-07-25,2020-12-29,1991-11-22,Y
SD47157258,Emp and Assistance,1991-11-08,2005-03-03,2004-04-26,N
SD1130841521,Emp and Assistance,2019-04-17,2020-06-23,2019-05-28,N
SD48606267,Emp and Assistance,1994-08-02,2007-03-19,2007-02-12,Y
SD48717473,Emp and Assistance,2010-11-22,2022-09-27,2022-08-29,N
SD48054800,Emp and Assistance,1993-04-16,2014-07-18,2001-05-18,Y
SD48699584,Emp and Assistance,1996-08-01,2022-05-24,2004-09-09,Y
SD49029119,Emp and Assistance,1994-01-17,2009-06-19,2006-01-09,N
SD47291613,Emp and Assistance,1992-04-10,2019-10-18,2019-09-13,N
SD47763779,Emp and Assistance,1993-09-14,2006-07-11,2006-05-09,Y
SD48819538,Emp and Assistance,1998-01-22,2005-06-01,2005-05-03,N
SD625648756,Emp and Assistance,2015-12-24,2022-06-06,2019-04-17,N
